#curie_map:
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  data_models: https://data.humantumoratlas.org/data_models/
#  htan2_data_model: https://data.humantumoratlas.org/htan2_data_model/
#  caDSR: https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=
#mapping_set_id: https://github.com/ncihtan/htan-model-mappings/mappings/data_models_to_htan2_data_model/assay_fields
#mapping_set_description: Assay_fields-level mappings from ncihtan/data-models@v25.2.1 to ncihtan/htan2-data-model@v1.3.0
#license: https://creativecommons.org/publicdomain/zero/1.0/
#mapping_date: 2026-03-16
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	comment
data_models:Imaging Level 3 Channels/Channel ID	Channel ID	skos:exactMatch	htan2_data_model:ChannelMetadata/CHANNEL_ID	CHANNEL_ID	semapv:LogicalReasoning	0.95	Channel identifier.
data_models:Imaging/LensNA	LensNA	skos:exactMatch	htan2_data_model:BaseImagingAttributes/LENS_NUMERICAL_APERTURE	LENS_NUMERICAL_APERTURE	semapv:LogicalReasoning	0.95	Lens numerical aperture.
data_models:Imaging/Passed QC	Passed QC	skos:exactMatch	htan2_data_model:BaseImagingAttributes/PASSED_QC	PASSED_QC	semapv:LogicalReasoning	0.95	QC pass indicator.
data_models:Imaging Level 3 Channels/RRID identifier	RRID identifier	skos:exactMatch	htan2_data_model:ChannelMetadata/RRID_IDENTIFIER	RRID_IDENTIFIER	semapv:LogicalReasoning	0.95	Research Resource Identifier.
data_models:Sequencing/Adapter Content	Adapter Content	skos:exactMatch	htan2_data_model:BulkWESLevel2/ADAPTER_CONTENT	ADAPTER_CONTENT	semapv:LexicalMatching	0.9	Matched by normalized name: adapter_content
data_models:Sequencing/Adapter Name	Adapter Name	skos:exactMatch	htan2_data_model:BulkWESLevel1/ADAPTER_NAME	ADAPTER_NAME	semapv:LexicalMatching	0.9	Matched by normalized name: adapter_name
data_models:Sequencing/Adapter Sequence	Adapter Sequence	skos:exactMatch	htan2_data_model:BulkWESLevel1/ADAPTER_SEQUENCE	ADAPTER_SEQUENCE	semapv:LexicalMatching	0.9	Matched by normalized name: adapter_sequence
data_models:Sequencing/Alignment Workflow Type	Alignment Workflow Type	skos:exactMatch	htan2_data_model:BulkWESLevel2/ALIGNMENT_WORKFLOW_TYPE	ALIGNMENT_WORKFLOW_TYPE	semapv:LexicalMatching	0.9	Matched by normalized name: alignment_workflow_type
data_models:Imaging Level 3 Channels/Antibody Name	Antibody Name	skos:exactMatch	htan2_data_model:ChannelMetadata/ANTIBODY_NAME	ANTIBODY_NAME	semapv:LexicalMatching	0.9	Matched by normalized name: antibody_name
data_models:Assay/Assay Type	Assay Type	skos:exactMatch	htan2_data_model:SpatialLevel1/ASSAY_TYPE	ASSAY_TYPE	semapv:LexicalMatching	0.9	Matched by normalized name: assay_type
data_models:Sequencing/Average Base Quality	Average Base Quality	skos:exactMatch	htan2_data_model:BulkWESLevel2/AVERAGE_BASE_QUALITY	AVERAGE_BASE_QUALITY	semapv:LexicalMatching	0.9	Matched by normalized name: average_base_quality
data_models:Sequencing/Average Insert Size	Average Insert Size	skos:exactMatch	htan2_data_model:BulkWESLevel2/AVERAGE_INSERT_SIZE	AVERAGE_INSERT_SIZE	semapv:LexicalMatching	0.9	Matched by normalized name: average_insert_size
data_models:Sequencing/Average Read Length	Average Read Length	skos:exactMatch	htan2_data_model:BulkWESLevel2/AVERAGE_READ_LENGTH	AVERAGE_READ_LENGTH	semapv:LexicalMatching	0.9	Matched by normalized name: average_read_length
data_models:Sequencing/Base Caller Name	Base Caller Name	skos:exactMatch	htan2_data_model:BulkWESLevel1/BASE_CALLER_NAME	BASE_CALLER_NAME	semapv:LexicalMatching	0.9	Matched by normalized name: base_caller_name
data_models:Sequencing/Base Caller Version	Base Caller Version	skos:exactMatch	htan2_data_model:BulkWESLevel1/BASE_CALLER_VERSION	BASE_CALLER_VERSION	semapv:LexicalMatching	0.9	Matched by normalized name: base_caller_version
data_models:Sequencing/Basic Statistics	Basic Statistics	skos:exactMatch	htan2_data_model:BulkWESLevel2/BASIC_STATISTICS	BASIC_STATISTICS	semapv:LexicalMatching	0.9	Matched by normalized name: basic_statistics
data_models:Spatial Transcriptomics/Capture Area	Capture Area	skos:exactMatch	htan2_data_model:SpatialLevel3/CAPTURE_AREA	CAPTURE_AREA	semapv:LexicalMatching	0.9	Matched by normalized name: capture_area
data_models:Imaging Level 3 Channels/Catalog Number	Catalog Number	skos:exactMatch	htan2_data_model:ChannelMetadata/CATALOG_NUMBER	CATALOG_NUMBER	semapv:LexicalMatching	0.9	Matched by normalized name: catalog_number
data_models:Sequencing/Cell Barcode Tag	Cell Barcode Tag	skos:exactMatch	htan2_data_model:scRNALevel2/CELL_BARCODE_TAG	CELL_BARCODE_TAG	semapv:LexicalMatching	0.9	Matched by normalized name: cell_barcode_tag
