#curie_map:
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  data_models: https://data.humantumoratlas.org/data_models/
#  htan2_data_model: https://data.humantumoratlas.org/htan2_data_model/
#mapping_set_id: https://github.com/ncihtan/htan-model-mappings/mappings/data_models_to_htan2_data_model/assay_unmapped_source
#mapping_set_description: HTAN Phase 1 assay fields with no equivalent in HTAN Phase 2
#license: https://creativecommons.org/publicdomain/zero/1.0/
#mapping_date: 2026-03-16
subject_id	subject_label	subject_source	predicate_id	object_id	object_label	mapping_justification	confidence	comment
data_models:Assay/Device	Device	Assay	skos:noMappingFound			semapv:LogicalReasoning	0.0	Base-class field not carried forward to HTAN2 specific assay classes
data_models:Assay/Electron Microscopy Level 1	Electron Microscopy Level 1	Assay	skos:noMappingFound			semapv:LogicalReasoning	0.0	Base-class field not carried forward to HTAN2 specific assay classes
data_models:Assay/Electron Microscopy Level 2	Electron Microscopy Level 2	Assay	skos:noMappingFound			semapv:LogicalReasoning	0.0	Base-class field not carried forward to HTAN2 specific assay classes
data_models:Assay/Electron Microscopy Level 3	Electron Microscopy Level 3	Assay	skos:noMappingFound			semapv:LogicalReasoning	0.0	Base-class field not carried forward to HTAN2 specific assay classes
data_models:Assay/Electron Microscopy Level 4	Electron Microscopy Level 4	Assay	skos:noMappingFound			semapv:LogicalReasoning	0.0	Base-class field not carried forward to HTAN2 specific assay classes
data_models:Assay/ExSeq Minimal	ExSeq Minimal	Assay	skos:noMappingFound			semapv:LogicalReasoning	0.0	Base-class field not carried forward to HTAN2 specific assay classes
data_models:Assay/Imaging Level 1	Imaging Level 1	Assay	skos:noMappingFound			semapv:LogicalReasoning	0.0	Base-class field not carried forward to HTAN2 specific assay classes
data_models:Assay/Imaging Level 2	Imaging Level 2	Assay	skos:noMappingFound			semapv:LogicalReasoning	0.0	Base-class field not carried forward to HTAN2 specific assay classes
data_models:Assay/Imaging Level 3 Channels	Imaging Level 3 Channels	Assay	skos:noMappingFound			semapv:LogicalReasoning	0.0	Base-class field not carried forward to HTAN2 specific assay classes
data_models:Assay/Imaging Level 3 Image	Imaging Level 3 Image	Assay	skos:noMappingFound			semapv:LogicalReasoning	0.0	Base-class field not carried forward to HTAN2 specific assay classes
data_models:Assay/Imaging Level 3 Segmentation	Imaging Level 3 Segmentation	Assay	skos:noMappingFound			semapv:LogicalReasoning	0.0	Base-class field not carried forward to HTAN2 specific assay classes
data_models:Assay/Imaging Level 4	Imaging Level 4	Assay	skos:noMappingFound			semapv:LogicalReasoning	0.0	Base-class field not carried forward to HTAN2 specific assay classes
data_models:Assay/MERFISH Codebook File	MERFISH Codebook File	Assay	skos:noMappingFound			semapv:LogicalReasoning	0.0	Base-class field not carried forward to HTAN2 specific assay classes
data_models:Assay/MERFISH Positions File	MERFISH Positions File	Assay	skos:noMappingFound			semapv:LogicalReasoning	0.0	Base-class field not carried forward to HTAN2 specific assay classes
data_models:Assay/Mass Spectrometry Auxiliary File	Mass Spectrometry Auxiliary File	Assay	skos:noMappingFound			semapv:LogicalReasoning	0.0	Base-class field not carried forward to HTAN2 specific assay classes
data_models:Assay/Mass Spectrometry Level 1	Mass Spectrometry Level 1	Assay	skos:noMappingFound			semapv:LogicalReasoning	0.0	Base-class field not carried forward to HTAN2 specific assay classes
data_models:Assay/Mass Spectrometry Level 2	Mass Spectrometry Level 2	Assay	skos:noMappingFound			semapv:LogicalReasoning	0.0	Base-class field not carried forward to HTAN2 specific assay classes
data_models:Assay/Mass Spectrometry Level 3	Mass Spectrometry Level 3	Assay	skos:noMappingFound			semapv:LogicalReasoning	0.0	Base-class field not carried forward to HTAN2 specific assay classes
data_models:Assay/Mass Spectrometry Level 4	Mass Spectrometry Level 4	Assay	skos:noMappingFound			semapv:LogicalReasoning	0.0	Base-class field not carried forward to HTAN2 specific assay classes
data_models:Assay/Microarray Level 1	Microarray Level 1	Assay	skos:noMappingFound			semapv:LogicalReasoning	0.0	Base-class field not carried forward to HTAN2 specific assay classes
data_models:Assay/Microarray Level 2	Microarray Level 2	Assay	skos:noMappingFound			semapv:LogicalReasoning	0.0	Base-class field not carried forward to HTAN2 specific assay classes
data_models:Assay/NanoString GeoMx DSP ROI DCC Segment Annotation Metadata	NanoString GeoMx DSP ROI DCC Segment Annotation Metadata	Assay	skos:noMappingFound			semapv:LogicalReasoning	0.0	Base-class field not carried forward to HTAN2 specific assay classes
data_models:Assay/NanoString GeoMx DSP ROI RCC Segment Annotation Metadata	NanoString GeoMx DSP ROI RCC Segment Annotation Metadata	Assay	skos:noMappingFound			semapv:LogicalReasoning	0.0	Base-class field not carried forward to HTAN2 specific assay classes
data_models:Assay/Other Assay	Other Assay	Assay	skos:noMappingFound			semapv:LogicalReasoning	0.0	Base-class field not carried forward to HTAN2 specific assay classes
data_models:Assay/RPPA Level 2	RPPA Level 2	Assay	skos:noMappingFound			semapv:LogicalReasoning	0.0	Base-class field not carried forward to HTAN2 specific assay classes
data_models:Assay/RPPA Level 3	RPPA Level 3	Assay	skos:noMappingFound			semapv:LogicalReasoning	0.0	Base-class field not carried forward to HTAN2 specific assay classes
data_models:Assay/RPPA Level 4	RPPA Level 4	Assay	skos:noMappingFound			semapv:LogicalReasoning	0.0	Base-class field not carried forward to HTAN2 specific assay classes
data_models:Assay/SRRS Imaging Level 2	SRRS Imaging Level 2	Assay	skos:noMappingFound			semapv:LogicalReasoning	0.0	Base-class field not carried forward to HTAN2 specific assay classes
data_models:Assay/Sequencing	Sequencing	Assay	skos:noMappingFound			semapv:LogicalReasoning	0.0	Base-class field not carried forward to HTAN2 specific assay classes
data_models:Bulk Methylation Assay Type/Beadchip Array	Beadchip Array	Bulk Methylation Assay Type	skos:noMappingFound			semapv:LogicalReasoning	0.0	Bulk methylation-seq-specific field; HTAN2 does not yet have a dedicated methylation module
data_models:Bulk Methylation Assay Type/Targeted Genome	Targeted Genome	Bulk Methylation Assay Type	skos:noMappingFound			semapv:LogicalReasoning	0.0	Bulk methylation-seq-specific field; HTAN2 does not yet have a dedicated methylation module
