#curie_map:
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  htan2_data_model: https://data.humantumoratlas.org/htan2_data_model/
#  data_models: https://data.humantumoratlas.org/data_models/
#mapping_set_id: https://github.com/ncihtan/htan-model-mappings/mappings/data_models_to_htan2_data_model/assay_unmapped_target
#mapping_set_description: HTAN Phase 2 assay fields with no equivalent in HTAN Phase 1 (ncihtan/htan2-data-model@v1.3.0)
#license: https://creativecommons.org/publicdomain/zero/1.0/
#mapping_date: 2026-03-16
subject_id	subject_label	subject_source	predicate_id	object_id	object_label	mapping_justification	confidence	comment
htan2_data_model:BaseImagingAttributes/DE_IDENTIFICATION_METHOD_DESCRIPTION	DE_IDENTIFICATION_METHOD_DESCRIPTION	BaseImagingAttributes	skos:noMappingFound			semapv:LogicalReasoning	0.0	New data governance/compliance field introduced in HTAN2
htan2_data_model:BaseImagingAttributes/DE_IDENTIFICATION_METHOD_TYPE	DE_IDENTIFICATION_METHOD_TYPE	BaseImagingAttributes	skos:noMappingFound			semapv:LogicalReasoning	0.0	New data governance/compliance field introduced in HTAN2
htan2_data_model:BaseImagingAttributes/DE_IDENTIFIED	DE_IDENTIFIED	BaseImagingAttributes	skos:noMappingFound			semapv:LogicalReasoning	0.0	New data governance/compliance field introduced in HTAN2
htan2_data_model:BaseImagingAttributes/HAS_SLIDE_LABEL	HAS_SLIDE_LABEL	BaseImagingAttributes	skos:noMappingFound			semapv:LogicalReasoning	0.0	New boolean indicator field introduced in HTAN2 data architecture
htan2_data_model:BaseImagingAttributes/LICENSE	LICENSE	BaseImagingAttributes	skos:noMappingFound			semapv:LogicalReasoning	0.0	New data governance/compliance field introduced in HTAN2
htan2_data_model:BaseImagingAttributes/SLIDE_LABEL_REDACTED	SLIDE_LABEL_REDACTED	BaseImagingAttributes	skos:noMappingFound			semapv:LogicalReasoning	0.0	New data governance/compliance field introduced in HTAN2
htan2_data_model:DigitalPathologyData/ANNOTATION_TYPE	ANNOTATION_TYPE	DigitalPathologyData	skos:noMappingFound			semapv:LogicalReasoning	0.0	New field introduced in HTAN2 with no HTAN1 equivalent
htan2_data_model:DigitalPathologyData/HAS_ANNOTATIONS	HAS_ANNOTATIONS	DigitalPathologyData	skos:noMappingFound			semapv:LogicalReasoning	0.0	New boolean indicator field introduced in HTAN2 data architecture
htan2_data_model:MultiplexMicroscopyData/LEVEL_2_DATA	LEVEL_2_DATA	MultiplexMicroscopyData	skos:noMappingFound			semapv:LogicalReasoning	0.0	Container reference slot in HTAN2 hierarchical class structure; no HTAN1 equivalent
htan2_data_model:MultiplexMicroscopyData/LEVEL_3_DATA	LEVEL_3_DATA	MultiplexMicroscopyData	skos:noMappingFound			semapv:LogicalReasoning	0.0	Container reference slot in HTAN2 hierarchical class structure; no HTAN1 equivalent
htan2_data_model:MultiplexMicroscopyData/LEVEL_4_DATA	LEVEL_4_DATA	MultiplexMicroscopyData	skos:noMappingFound			semapv:LogicalReasoning	0.0	Container reference slot in HTAN2 hierarchical class structure; no HTAN1 equivalent
htan2_data_model:MultiplexMicroscopyLevel3/SEGMENTATION_WORKFLOW_TYPE	SEGMENTATION_WORKFLOW_TYPE	MultiplexMicroscopyLevel3	skos:noMappingFound			semapv:LogicalReasoning	0.0	New workflow provenance field for reproducibility; HTAN1 lacked structured workflow metadata
htan2_data_model:MultiplexMicroscopyLevel3/SEGMENTATION_WORKFLOW_URL	SEGMENTATION_WORKFLOW_URL	MultiplexMicroscopyLevel3	skos:noMappingFound			semapv:LogicalReasoning	0.0	New workflow provenance field for reproducibility; HTAN1 lacked structured workflow metadata
htan2_data_model:MultiplexMicroscopyLevel4/FEATURE_EXTRACTION_WORKFLOW_TYPE	FEATURE_EXTRACTION_WORKFLOW_TYPE	MultiplexMicroscopyLevel4	skos:noMappingFound			semapv:LogicalReasoning	0.0	New workflow provenance field for reproducibility; HTAN1 lacked structured workflow metadata
htan2_data_model:MultiplexMicroscopyLevel4/FEATURE_EXTRACTION_WORKFLOW_URL	FEATURE_EXTRACTION_WORKFLOW_URL	MultiplexMicroscopyLevel4	skos:noMappingFound			semapv:LogicalReasoning	0.0	New workflow provenance field for reproducibility; HTAN1 lacked structured workflow metadata
htan2_data_model:SpatialData/LEVEL_1_DATA	LEVEL_1_DATA	SpatialData	skos:noMappingFound			semapv:LogicalReasoning	0.0	Container reference slot in HTAN2 hierarchical class structure; no HTAN1 equivalent
htan2_data_model:SpatialData/LEVEL_3_DATA	LEVEL_3_DATA	SpatialData	skos:noMappingFound			semapv:LogicalReasoning	0.0	Container reference slot in HTAN2 hierarchical class structure; no HTAN1 equivalent
htan2_data_model:SpatialData/LEVEL_4_DATA	LEVEL_4_DATA	SpatialData	skos:noMappingFound			semapv:LogicalReasoning	0.0	Container reference slot in HTAN2 hierarchical class structure; no HTAN1 equivalent
htan2_data_model:SpatialData/PANEL_DATA	PANEL_DATA	SpatialData	skos:noMappingFound			semapv:LogicalReasoning	0.0	New structured panel/gene metadata; HTAN1 used flat text fields
