#curie_map:
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  data_models: https://data.humantumoratlas.org/data_models/
#  htan2_data_model: https://data.humantumoratlas.org/htan2_data_model/
#  caDSR: https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=
#mapping_set_id: https://github.com/ncihtan/htan-model-mappings/mappings/data_models_to_htan2_data_model/biospecimen_fields
#mapping_set_description: Biospecimen_fields-level mappings from ncihtan/data-models@v25.2.1 to ncihtan/htan2-data-model@v1.3.0
#license: https://creativecommons.org/publicdomain/zero/1.0/
#mapping_date: 2026-03-16
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	comment
data_models:Biospecimen/Acquisition Method Type	Acquisition Method Type	skos:exactMatch	htan2_data_model:BiospecimenData/ACQUISITION_METHOD_TYPE	ACQUISITION_METHOD_TYPE	semapv:DatabaseCrossReference	1.0	Matched by caDSR ID: 6626651
data_models:Biospecimen/Degree of Dysplasia	Degree of Dysplasia	skos:exactMatch	htan2_data_model:BiospecimenData/DEGREE_OF_DYSPLASIA	DEGREE_OF_DYSPLASIA	semapv:DatabaseCrossReference	1.0	Matched by caDSR ID: 5543188
data_models:Biospecimen/Fixation Duration	Fixation Duration	skos:exactMatch	htan2_data_model:BiospecimenData/FIXATION_DURATION_IN_MINUTES	FIXATION_DURATION_IN_MINUTES	semapv:DatabaseCrossReference	1.0	Matched by caDSR ID: 5230144
data_models:Biospecimen/Percent Necrosis	Percent Necrosis	skos:exactMatch	htan2_data_model:BiospecimenData/PERCENT_NECROSIS	PERCENT_NECROSIS	semapv:DatabaseCrossReference	1.0	Matched by caDSR ID: 2841237
data_models:Biospecimen/Percent Normal Cells	Percent Normal Cells	skos:exactMatch	htan2_data_model:BiospecimenData/PERCENT_NORMAL_CELLS	PERCENT_NORMAL_CELLS	semapv:DatabaseCrossReference	1.0	Matched by caDSR ID: 2841233
data_models:Biospecimen/Percent Tumor Cells	Percent Tumor Cells	skos:exactMatch	htan2_data_model:BiospecimenData/PERCENT_TUMOR_CELLS	PERCENT_TUMOR_CELLS	semapv:DatabaseCrossReference	1.0	Matched by caDSR ID: 5432686
data_models:Biospecimen/Percent Tumor Nuclei	Percent Tumor Nuclei	skos:exactMatch	htan2_data_model:BiospecimenData/PERCENT_TUMOR_NUCLEI	PERCENT_TUMOR_NUCLEI	semapv:DatabaseCrossReference	1.0	Matched by caDSR ID: 2841225
data_models:Biospecimen/Section Thickness Value	Section Thickness Value	skos:exactMatch	htan2_data_model:BiospecimenData/SECTION_THICKNESS_VALUE	SECTION_THICKNESS_VALUE	semapv:DatabaseCrossReference	1.0	Matched by caDSR ID: 3024951
data_models:Biospecimen/Shipping Condition Type	Shipping Condition Type	skos:exactMatch	htan2_data_model:BiospecimenData/SHIPPING_CONDITION_TYPE	SHIPPING_CONDITION_TYPE	semapv:DatabaseCrossReference	1.0	Matched by caDSR ID: 5495533
data_models:Biospecimen/Slide Charge Type	Slide Charge Type	skos:exactMatch	htan2_data_model:BiospecimenData/SLIDE_CHARGE_TYPE	SLIDE_CHARGE_TYPE	semapv:DatabaseCrossReference	1.0	Matched by caDSR ID: 5227611
data_models:Biospecimen/Adjacent Biospecimen IDs	Adjacent Biospecimen IDs	skos:exactMatch	htan2_data_model:BiospecimenData/ADJACENT_BIOSPECIMEN_IDS	ADJACENT_BIOSPECIMEN_IDS	semapv:LogicalReasoning	0.95	Identical field for adjacent biospecimen identifiers.
data_models:Biospecimen/HTAN Biospecimen ID	HTAN Biospecimen ID	skos:exactMatch	htan2_data_model:BiospecimenData/HTAN_BIOSPECIMEN_ID	HTAN_BIOSPECIMEN_ID	semapv:LogicalReasoning	0.95	Identical primary key identifier in both models.
data_models:Biospecimen/HTAN Parent ID	HTAN Parent ID	skos:exactMatch	htan2_data_model:BiospecimenData/HTAN_PARENT_ID	HTAN_PARENT_ID	semapv:LogicalReasoning	0.95	Identical foreign key identifier in both models.
data_models:Biospecimen/Acquisition Method Other Specify	Acquisition Method Other Specify	skos:exactMatch	htan2_data_model:BiospecimenData/ACQUISITION_METHOD_OTHER_SPECIFY	ACQUISITION_METHOD_OTHER_SPECIFY	semapv:LexicalMatching	0.9	Matched by normalized name: acquisition_method_other_specify
data_models:Biospecimen/Analyte Type	Analyte Type	skos:exactMatch	htan2_data_model:BiospecimenData/ANALYTE_TYPE	ANALYTE_TYPE	semapv:LexicalMatching	0.9	Matched by normalized name: analyte_type
data_models:Biospecimen/Biospecimen Type	Biospecimen Type	skos:exactMatch	htan2_data_model:BiospecimenData/BIOSPECIMEN_TYPE	BIOSPECIMEN_TYPE	semapv:LexicalMatching	0.9	Matched by normalized name: biospecimen_type
