#curie_map:
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  data_models: https://data.humantumoratlas.org/data_models/
#  htan2_data_model: https://data.humantumoratlas.org/htan2_data_model/
#  caDSR: https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=
#mapping_set_id: https://github.com/ncihtan/htan-model-mappings/mappings/data_models_to_htan2_data_model/clinical_fields
#mapping_set_description: Clinical_fields-level mappings from ncihtan/data-models@v25.2.1 to ncihtan/htan2-data-model@v1.3.0
#license: https://creativecommons.org/publicdomain/zero/1.0/
#mapping_date: 2026-03-16
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	comment
data_models:Diagnosis/AJCC Clinical M	AJCC Clinical M	skos:exactMatch	htan2_data_model:Diagnosis/CLINICAL_M_STAGE	CLINICAL_M_STAGE	semapv:DatabaseCrossReference	1.0	Matched by caDSR ID: 3440331
data_models:Diagnosis/AJCC Clinical N	AJCC Clinical N	skos:exactMatch	htan2_data_model:Diagnosis/CLINICAL_N_STAGE	CLINICAL_N_STAGE	semapv:DatabaseCrossReference	1.0	Matched by caDSR ID: 3440330
data_models:Diagnosis/AJCC Clinical T	AJCC Clinical T	skos:exactMatch	htan2_data_model:Diagnosis/CLINICAL_T_STAGE	CLINICAL_T_STAGE	semapv:DatabaseCrossReference	1.0	Matched by caDSR ID: 3440328
data_models:Diagnosis/AJCC Staging System Edition	AJCC Staging System Edition	skos:exactMatch	htan2_data_model:Diagnosis/AJCC_STAGING_SYSTEM_EDITION	AJCC_STAGING_SYSTEM_EDITION	semapv:DatabaseCrossReference	1.0	Matched by caDSR ID: 2722309
data_models:Follow Up/ECOG Performance Status	ECOG Performance Status	skos:exactMatch	htan2_data_model:FollowUp/ECOG_PERFORMANCE_STATUS	ECOG_PERFORMANCE_STATUS	semapv:DatabaseCrossReference	1.0	Matched by caDSR ID: 88
data_models:Demographics/Ethnicity	Ethnicity	skos:exactMatch	htan2_data_model:Demographics/ETHNIC_GROUP	ETHNIC_GROUP	semapv:DatabaseCrossReference	1.0	Matched by caDSR ID: 2192217
data_models:Patient/HTAN Participant ID	HTAN Participant ID	skos:exactMatch	htan2_data_model:ClinicalRecordAttributes/HTAN_PARTICIPANT_ID	HTAN_PARTICIPANT_ID	semapv:LogicalReasoning	1.0	Identical field: HTAN ID SOP primary key for patient identification.
data_models:Follow Up/Menopause Status	Menopause Status	skos:exactMatch	htan2_data_model:FollowUp/MENOPAUSE_STATUS	MENOPAUSE_STATUS	semapv:DatabaseCrossReference	1.0	Matched by caDSR ID: 2434914
data_models:Exposure/Pack Years Smoked	Pack Years Smoked	skos:exactMatch	htan2_data_model:Exposure/PACK_YEARS_SMOKED	PACK_YEARS_SMOKED	semapv:DatabaseCrossReference	1.0	Matched by caDSR ID: 2955385
data_models:Demographics/Race	Race	skos:exactMatch	htan2_data_model:Demographics/RACE	RACE	semapv:DatabaseCrossReference	1.0	Matched by caDSR ID: 2192199
