#curie_map:
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  data_models: https://data.humantumoratlas.org/data_models/
#  htan2_data_model: https://data.humantumoratlas.org/htan2_data_model/
#mapping_set_id: https://github.com/ncihtan/htan-model-mappings/mappings/data_models_to_htan2_data_model/clinical_unmapped_source
#mapping_set_description: HTAN Phase 1 clinical fields with no equivalent in HTAN Phase 2 (ncihtan/data-models@v25.2.1 → ncihtan/htan2-data-model@v1.3.0)
#license: https://creativecommons.org/publicdomain/zero/1.0/
#mapping_date: 2026-03-16
subject_id	subject_label	subject_source	predicate_id	object_id	object_label	mapping_justification	confidence	comment
data_models:Acute Lymphoblastic Leukemia Tier 3/CNS Leukemia Status	CNS Leukemia Status	Acute Lymphoblastic Leukemia Tier 3	skos:noMappingFound			semapv:LogicalReasoning	0.0	Cancer-type-specific field (Acute Lymphoblastic Leukemia Tier 3); HTAN2 does not include disease-specific tiers
data_models:Acute Lymphoblastic Leukemia Tier 3/MRD ALL Diagnostic Sensitivity	MRD ALL Diagnostic Sensitivity	Acute Lymphoblastic Leukemia Tier 3	skos:noMappingFound			semapv:LogicalReasoning	0.0	Cancer-type-specific field (Acute Lymphoblastic Leukemia Tier 3); HTAN2 does not include disease-specific tiers
data_models:Acute Lymphoblastic Leukemia Tier 3/NCI ALL Risk Group	NCI ALL Risk Group	Acute Lymphoblastic Leukemia Tier 3	skos:noMappingFound			semapv:LogicalReasoning	0.0	Cancer-type-specific field (Acute Lymphoblastic Leukemia Tier 3); HTAN2 does not include disease-specific tiers
data_models:Acute Lymphoblastic Leukemia Tier 3/Specimen Blast Count Percentage Value	Specimen Blast Count Percentage Value	Acute Lymphoblastic Leukemia Tier 3	skos:noMappingFound			semapv:LogicalReasoning	0.0	Cancer-type-specific field (Acute Lymphoblastic Leukemia Tier 3); HTAN2 does not include disease-specific tiers
data_models:Breast Cancer Tier 3/BIRADS Mammography Breast Density Category	BIRADS Mammography Breast Density Category	Breast Cancer Tier 3	skos:noMappingFound			semapv:LogicalReasoning	0.0	Cancer-type-specific field (Breast Cancer Tier 3); HTAN2 does not include disease-specific tiers
data_models:Breast Cancer Tier 3/Breast Biopsy Procedure Finding Type	Breast Biopsy Procedure Finding Type	Breast Cancer Tier 3	skos:noMappingFound			semapv:LogicalReasoning	0.0	Cancer-type-specific field (Breast Cancer Tier 3); HTAN2 does not include disease-specific tiers
data_models:Breast Cancer Tier 3/Breast Cancer Allred Estrogen Receptor Score	Breast Cancer Allred Estrogen Receptor Score	Breast Cancer Tier 3	skos:noMappingFound			semapv:LogicalReasoning	0.0	Cancer-type-specific field (Breast Cancer Tier 3); HTAN2 does not include disease-specific tiers
data_models:Breast Cancer Tier 3/Breast Cancer Assessment Tests	Breast Cancer Assessment Tests	Breast Cancer Tier 3	skos:noMappingFound			semapv:LogicalReasoning	0.0	Cancer-type-specific field (Breast Cancer Tier 3); HTAN2 does not include disease-specific tiers
data_models:Breast Cancer Tier 3/Breast Cancer Genomic Test Performed	Breast Cancer Genomic Test Performed	Breast Cancer Tier 3	skos:noMappingFound			semapv:LogicalReasoning	0.0	Cancer-type-specific field (Breast Cancer Tier 3); HTAN2 does not include disease-specific tiers
data_models:Breast Cancer Tier 3/Breast Carcinoma Centromere 17 Copy Number	Breast Carcinoma Centromere 17 Copy Number	Breast Cancer Tier 3	skos:noMappingFound			semapv:LogicalReasoning	0.0	Cancer-type-specific field (Breast Cancer Tier 3); HTAN2 does not include disease-specific tiers
