#curie_map:
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  data_models: https://data.humantumoratlas.org/data_models/
#  htan2_data_model: https://data.humantumoratlas.org/htan2_data_model/
#  caDSR: https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=
#mapping_set_id: https://github.com/ncihtan/htan-model-mappings/mappings/data_models_to_htan2_data_model/clinical_values
#mapping_set_description: Value-level mappings for clinical domain from ncihtan/data-models@v25.2.1 to ncihtan/htan2-data-model@v1.3.0
#license: https://creativecommons.org/publicdomain/zero/1.0/
#mapping_date: 2026-03-16
subject_id	subject_label	subject_match_field	predicate_id	object_id	object_label	object_match_field	mapping_justification	confidence	comment
data_models:Demographics/Cause of Death/cancer_related	Cancer Related	data_models:Demographics/Cause of Death	skos:exactMatch	htan2_data_model:VitalStatus/CAUSE_OF_DEATH/cancer_related	Cancer Related	htan2_data_model:VitalStatus/CAUSE_OF_DEATH	semapv:LexicalMatching	1.0	Case-insensitive exact match: 'Cancer Related' = 'Cancer Related'
data_models:Demographics/Cause of Death/end-stage_renal_disease	End-stage Renal Disease	data_models:Demographics/Cause of Death	skos:exactMatch	htan2_data_model:VitalStatus/CAUSE_OF_DEATH/end-stage_renal_disease	End-stage Renal Disease	htan2_data_model:VitalStatus/CAUSE_OF_DEATH	semapv:LexicalMatching	1.0	Case-insensitive exact match: 'End-stage Renal Disease' = 'End-stage Renal Disease'
data_models:Demographics/Cause of Death/infection	Infection	data_models:Demographics/Cause of Death	skos:exactMatch	htan2_data_model:VitalStatus/CAUSE_OF_DEATH/infection	Infection	htan2_data_model:VitalStatus/CAUSE_OF_DEATH	semapv:LexicalMatching	1.0	Case-insensitive exact match: 'Infection' = 'Infection'
data_models:Demographics/Cause of Death/not_applicable	Not Applicable	data_models:Demographics/Cause of Death	skos:exactMatch	htan2_data_model:VitalStatus/CAUSE_OF_DEATH/not_applicable	Not Applicable	htan2_data_model:VitalStatus/CAUSE_OF_DEATH	semapv:LogicalReasoning	1.0	Exact match found in full target enum
data_models:Demographics/Cause of Death/not_cancer_related	Not Cancer Related	data_models:Demographics/Cause of Death	skos:exactMatch	htan2_data_model:VitalStatus/CAUSE_OF_DEATH/not_cancer_related	Not Cancer Related	htan2_data_model:VitalStatus/CAUSE_OF_DEATH	semapv:LexicalMatching	1.0	Case-insensitive exact match: 'Not Cancer Related' = 'Not Cancer Related'
data_models:Demographics/Cause of Death/not_reported	Not Reported	data_models:Demographics/Cause of Death	skos:exactMatch	htan2_data_model:VitalStatus/CAUSE_OF_DEATH/not_reported	Not Reported	htan2_data_model:VitalStatus/CAUSE_OF_DEATH	semapv:LexicalMatching	1.0	Case-insensitive exact match: 'Not Reported' = 'Not Reported'
data_models:Demographics/Cause of Death/spinal_muscular_atrophy	Spinal Muscular Atrophy	data_models:Demographics/Cause of Death	skos:exactMatch	htan2_data_model:VitalStatus/CAUSE_OF_DEATH/spinal_muscular_atrophy	Spinal Muscular Atrophy	htan2_data_model:VitalStatus/CAUSE_OF_DEATH	semapv:LexicalMatching	1.0	Case-insensitive exact match: 'Spinal Muscular Atrophy' = 'Spinal Muscular Atrophy'
data_models:Demographics/Cause of Death/toxicity	Toxicity	data_models:Demographics/Cause of Death	skos:exactMatch	htan2_data_model:VitalStatus/CAUSE_OF_DEATH/toxicity	Toxicity	htan2_data_model:VitalStatus/CAUSE_OF_DEATH	semapv:LexicalMatching	1.0	Case-insensitive exact match: 'Toxicity' = 'Toxicity'
data_models:Demographics/Cause of Death/unknown	unknown	data_models:Demographics/Cause of Death	skos:exactMatch	htan2_data_model:VitalStatus/CAUSE_OF_DEATH/unknown	Unknown	htan2_data_model:VitalStatus/CAUSE_OF_DEATH	semapv:LexicalMatching	1.0	Case-insensitive exact match: 'unknown' = 'Unknown'
data_models:Demographics/Cause of Death Source/death_certificate	Death Certificate	data_models:Demographics/Cause of Death Source	skos:exactMatch	htan2_data_model:VitalStatus/CAUSE_OF_DEATH_SOURCE/death_certificate	Death Certificate	htan2_data_model:VitalStatus/CAUSE_OF_DEATH_SOURCE	semapv:LexicalMatching	1.0	Case-insensitive exact match: 'Death Certificate' = 'Death Certificate'
